Date Open High Low Close* Adj Close** Volume 
Dec 14, 2018 1,049.98 1,062.60 1,040.79 1,042.10 1,042.10 1,685,900 
Dec 13, 2018 1,068.07 1,079.76 1,053.93 1,061.90 1,061.90 1,329,800 
Dec 12, 2018 1,068.00 1,081.65 1,062.79 1,063.68 1,063.68 1,523,800 
Dec 11, 2018 1,056.49 1,060.60 1,039.84 1,051.75 1,051.75 1,394,700 
Dec 10, 2018 1,035.05 1,048.45 1,023.29 1,039.55 1,039.55 1,807,700 
Dec 07, 2018 1,060.01 1,075.26 1,028.50 1,036.58 1,036.58 2,101,200 
Dec 06, 2018 1,034.26 1,071.20 1,030.77 1,068.73 1,068.73 2,769,200 
Dec 04, 2018 1,103.12 1,104.42 1,049.98 1,050.82 1,050.82 2,345,200 
Dec 03, 2018 1,123.14 1,124.65 1,103.67 1,106.43 1,106.43 1,991,200 
Nov 30, 2018 1,089.07 1,095.57 1,077.88 1,094.43 1,094.43 2,580,200 
Nov 29, 2018 1,076.08 1,094.24 1,076.00 1,088.30 1,088.30 1,468,900 
Nov 28, 2018 1,048.76 1,086.84 1,035.76 1,086.23 1,086.23 2,475,400 
Nov 27, 2018 1,041.00 1,057.58 1,038.49 1,044.41 1,044.41 1,803,200 
Nov 26, 2018 1,038.35 1,049.31 1,033.91 1,048.62 1,048.62 1,942,800 
Nov 23, 2018 1,030.00 1,037.59 1,022.40 1,023.88 1,023.88 691,500 
Nov 21, 2018 1,036.76 1,048.56 1,033.47 1,037.61 1,037.61 1,534,300 
Nov 20, 2018 1,000.00 1,031.74 996.02 1,025.76 1,025.76 2,449,100 
Nov 19, 2018 1,057.20 1,060.79 1,016.26 1,020.00 1,020.00 1,858,600 
Nov 16, 2018 1,059.41 1,067.00 1,048.98 1,061.49 1,061.49 1,658,100 
Nov 15, 2018 1,044.71 1,071.85 1,031.78 1,064.71 1,064.71 1,836,100 
Nov 14, 2018 1,050.00 1,054.56 1,031.00 1,043.66 1,043.66 1,565,900 
Nov 13, 2018 1,043.29 1,056.60 1,031.15 1,036.05 1,036.05 1,513,700 
Nov 12, 2018 1,061.39 1,062.12 1,031.00 1,038.63 1,038.63 1,471,800 
